storage_location,quantity,notes,reorder_quantity,item_type,associated_pricing_item_ids,expiry_date,item_name,location_id,low_stock_threshold,unit,cost_per_unit,supplier,item_condition,sku,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"Lab","6","","","Supply","","","Triple Antibiotic Cream","69593d53c98b3add2b7ee76e","10","tubes","","","unopened","","active","69690b3c2acef97513bc299e","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","1","","","Medication","","","Zinc","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc2997","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","1","","","Medication","","","Vita Complex","69593d53c98b3add2b7ee76e","10","units","","","opened","","active","69690b3c2acef97513bc2990","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Room 6","1","","","Product","","","G-Peel 50","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc29ac","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Lab","1","","","Medication","","2026-08-31","ANA","69593d53c98b3add2b7ee76e","10","bottles","","","unopened","","active","69690b3c2acef97513bc29a1","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Lab","1","","","Medication","","2027-09-30","Zofran","69593d53c98b3add2b7ee76e","10","boxes","","","unopened","","active","69690b3c2acef97513bc29a0","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Lab Drawer #1","2","","","Supply","[]","2028-03-31","Sculptra","69593d53c98b3add2b7ee76e","1","vials","","","unopened","","active","69690b3c2acef97513bc2984","2026-01-15T15:43:56.091000","2026-01-20T18:34:19.477000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","0","","","Medication","","","Zinc","69593d53c98b3add2b7ee76e","10","units","","","opened","","active","69690b3c2acef97513bc2998","2026-01-15T15:43:56.091000","2026-01-19T21:57:29.943000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","1","","","Medication","","2025-12-27","Vit D3","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc2995","2026-01-15T15:43:56.091000","2026-01-19T21:57:29.037000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Lab Drawer #1","1","","","Medication","[]","2027-04-30","Sculptra","69593d53c98b3add2b7ee76e","1","vials","","","unopened","","active","69690b3c2acef97513bc2983","2026-01-15T15:43:56.091000","2026-01-20T18:36:00.475000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Lab","1","","","Medication","","2027-05-31","Keflex","69593d53c98b3add2b7ee76e","10","bottles","","","opened","","active","69690b3c2acef97513bc299a","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Lab","1","","","Supply","","2027-01-31","Sodium Chloride 0.9%","69593d53c98b3add2b7ee76e","10","bottles","","","unopened","","active","69690b3c2acef97513bc29a4","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fillers","1","","","Medication","","2026-07-31","Defyne","69593d53c98b3add2b7ee76e","10","syringes","","","unopened","","active","69690b3c2acef97513bc2980","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Lab","1","","","Supply","","2027-03-31","Sodium Chloride 0.9%","69593d53c98b3add2b7ee76e","10","bottles","","","unopened","","active","69690b3c2acef97513bc29a5","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","1","","","Medication","","","B12","69593d53c98b3add2b7ee76e","10","units","","","opened","","active","69690b3c2acef97513bc298e","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","0","","","Medication","","","Lipo-Stat Blend","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc298b","2026-01-15T15:43:56.091000","2026-01-19T21:57:29.058000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fillers","1","","","Medication","","2025-12-31","Kybella","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc2982","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","1","","","Medication","","2025-05-08","Vita Complex","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc298f","2026-01-15T15:43:56.091000","2026-01-19T21:57:29.054000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","1","","","Medication","","","Vit D3","69593d53c98b3add2b7ee76e","10","units","","","opened","","active","69690b3c2acef97513bc2996","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","1","","","Medication","","","L-Carnitine","69593d53c98b3add2b7ee76e","10","units","","","opened","","active","69690b3c2acef97513bc2986","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","0","","","Medication","","","Mineral Blend","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc2987","2026-01-15T15:43:56.091000","2026-01-19T21:57:29.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Lab","1","","","Medication","","2027-04-30","Liletta","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc29a7","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Backstock Vitamins","1","","","Medication","","2024-02-10","Taurine","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc298c","2026-01-15T15:43:56.091000","2026-01-19T21:57:29.064000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Room 7","3","","","Supply","","","Smart (Micro-needling) heads","69593d53c98b3add2b7ee76e","10","heads","","","unopened","","active","69690b3c2acef97513bc29af","2026-01-15T15:43:56.091000","2026-01-15T15:43:56.091000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Injectables","2","","","Medication","","","Botox","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc2972","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fridge","2","","","Medication","","","Preserved Ascorbic Acid","69593d53c98b3add2b7ee76e","10","units","","","opened","","active","69690b3c2acef97513bc2967","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fridge","1","","","Medication","","","NAD+","69593d53c98b3add2b7ee76e","10","units","","","opened","","active","69690b3c2acef97513bc296c","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Injectables","2","","","Medication","","","Jeuveau","69593d53c98b3add2b7ee76e","10","units","","","opened","","active","69690b3c2acef97513bc296f","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Cabinet","1","","","Medication","","","Ibuprofen","69593d53c98b3add2b7ee76e","10","bottles","","","unopened","","active","69690b3c2acef97513bc2975","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fridge","2","","","Medication","","","Trimix","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc2966","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Cabinet","1","","","Medication","","","Zofran","69593d53c98b3add2b7ee76e","10","boxes","","","unopened","","active","69690b3c2acef97513bc2978","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Vials","0","","","Medication","[]","","Testosterone 50mg/ml vial","69593d53c98b3add2b7ee76e","10","vials","","","unopened","","active","69690b3c2acef97513bc2965","2026-01-15T15:43:56.090000","2026-02-02T16:36:03.959000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Vials","1","","","Medication","","","Estradiol vials","69593d53c98b3add2b7ee76e","10","vials","","","unopened","","active","69690b3c2acef97513bc2964","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Cabinet","1","","","Medication","","","Keflex","69593d53c98b3add2b7ee76e","10","bottles","","","unopened","","active","69690b3c2acef97513bc2976","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Cabinet","2","","","Medication","","","MethylPrednisone","69593d53c98b3add2b7ee76e","10","packs","","","unopened","","active","69690b3c2acef97513bc2977","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fridge","4","","","Medication","[]","","Semaglutide vials","69593d53c98b3add2b7ee76f","10","vials","","","unopened","","active","69690b3c2acef97513bc2963","2026-01-15T15:43:56.090000","2026-01-19T04:38:11.094000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Injectables","3","","","Medication","","","Xeomin","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc2974","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Injectables","1","","","Medication","","","Dysport","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc2970","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fridge","1","","","Medication","","","Myers Cocktail Mix","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc296b","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fridge","1","","","Medication","","","NAD+","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc296d","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Injectables","1","","","Medication","","","Jeuveau","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc296e","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Injectables","4","","","Medication","","","Dysport","69593d53c98b3add2b7ee76e","10","units","","","opened","","active","69690b3c2acef97513bc2971","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Cabinet","1","","","Medication","","","Bromelain","69593d53c98b3add2b7ee76e","10","bottles","","","unopened","","active","69690b3c2acef97513bc2979","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fridge","1","","","Medication","","","Myers Cocktail Mix","69593d53c98b3add2b7ee76e","10","units","","","opened","","active","69690b3c2acef97513bc296a","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fridge","1","","","Medication","[]","","Semaglutide vials","69593d53c98b3add2b7ee76e","10","vials","","","opened","","active","69690b3c2acef97513bc2962","2026-01-15T15:43:56.090000","2026-01-19T04:44:46.740000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fridge","1","","","Medication","","","Glutathione","69593d53c98b3add2b7ee76e","10","units","","","opened","","active","69690b3c2acef97513bc2968","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fridge","1","","","Medication","[]","","Tirzepatide vials","69593d53c98b3add2b7ee76e","10","vials","","","opened","","active","69690b3c2acef97513bc2961","2026-01-15T15:43:56.090000","2026-02-02T16:17:51.264000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Fridge","1","","","Medication","","","Glutathione","69593d53c98b3add2b7ee76e","10","units","","","unopened","","active","69690b3c2acef97513bc2969","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Injectables","1","","","Medication","","","Botox","69593d53c98b3add2b7ee76e","10","units","","","opened","","active","69690b3c2acef97513bc2973","2026-01-15T15:43:56.090000","2026-01-15T15:43:56.090000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Big Lab (Bldg 400)","3","","","Supply","","","EyeWash/Flush","69593d53c98b3add2b7ee76f","10","bottles","","","unopened","","active","69690956821941c4e589e144","2026-01-15T15:35:50.581000","2026-01-15T15:35:50.581000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Big Lab (Bldg 400)","2","","","Supply","","","Bacteriostatic Water","69593d53c98b3add2b7ee76f","10","boxes","","","unopened","","active","69690956821941c4e589e140","2026-01-15T15:35:50.581000","2026-01-15T15:35:50.581000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Big Lab (Bldg 400)","1","","","Supply","","","Sterile Water","69593d53c98b3add2b7ee76f","10","boxes","","","opened","","active","69690956821941c4e589e142","2026-01-15T15:35:50.581000","2026-01-15T15:35:50.581000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Injectables","6","","","Medication","","","Daxxify","69593d53c98b3add2b7ee76f","10","units","","","unopened","","active","69690956821941c4e589e147","2026-01-15T15:35:50.581000","2026-01-15T15:35:50.581000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Big Lab (Bldg 400)","2","","","Supply","","","Sterile Water","69593d53c98b3add2b7ee76f","10","boxes","","","unopened","","active","69690956821941c4e589e143","2026-01-15T15:35:50.581000","2026-01-15T15:35:50.581000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Big Lab (Bldg 400)","11","","","Medication","","2027-09-30","Rocephin","69593d53c98b3add2b7ee76f","10","vials","","","opened","","active","69690956821941c4e589e146","2026-01-15T15:35:50.581000","2026-01-15T15:35:50.581000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Big Lab (Bldg 400)","9","","","Supply","","","Bacteriostatic Water","69593d53c98b3add2b7ee76f","10","vials","","","unopened","","active","69690956821941c4e589e13f","2026-01-15T15:35:50.581000","2026-01-15T15:35:50.581000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Big Lab (Bldg 400)","1","","","Medication","","","Lidocaine Hydrochloride","69593d53c98b3add2b7ee76f","10","boxes","","","opened","","active","69690956821941c4e589e141","2026-01-15T15:35:50.581000","2026-01-15T15:35:50.581000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Big Lab (Bldg 400)","1","","","Medication","","2027-10-31","Fluconazole","69593d53c98b3add2b7ee76f","10","boxes","","","unopened","","active","69690956821941c4e589e145","2026-01-15T15:35:50.581000","2026-01-15T15:35:50.581000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Black Cabinet","4","","","Medication","","","Triamcinolone Acetonide Injectable","69593d53c98b3add2b7ee76f","10","units","","","unopened","","active","69690956821941c4e589e0fd","2026-01-15T15:35:50.580000","2026-01-15T15:35:50.580000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Closet (right side)","7","","","Medication","","2025-09-30","Xeomin","69593d53c98b3add2b7ee76f","10","units","","","unopened","","active","69690956821941c4e589e121","2026-01-15T15:35:50.580000","2026-01-15T15:35:50.580000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Mini Fridge","1","","","Medication","","","Glutathione","69593d53c98b3add2b7ee76f","10","units","","","opened","","active","69690956821941c4e589e0f6","2026-01-15T15:35:50.580000","2026-01-15T15:35:50.580000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Closet (right side)","84","","","Medication","","2025-12-31","Xeomin","69593d53c98b3add2b7ee76f","10","units","","","unopened","","active","69690956821941c4e589e122","2026-01-15T15:35:50.580000","2026-01-15T15:35:50.580000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Closet (left side)","3","","","Medication","","2027-12-31","Bromelain","69593d53c98b3add2b7ee76f","10","bottles","","","unopened","","active","69690956821941c4e589e114","2026-01-15T15:35:50.580000","2026-01-15T15:35:50.580000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Kim's Fridge","2","","","Medication","","","BPC-157","69593d53c98b3add2b7ee76f","10","units","","","unopened","","active","69690956821941c4e589e0ea","2026-01-15T15:35:50.580000","2026-01-15T15:35:50.580000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
"Big Lab (Bldg 400)","1","","","Medication","","2025-11-30","ANA","69593d53c98b3add2b7ee76f","10","units","","","unopened","","active","69690956821941c4e589e133","2026-01-15T15:35:50.580000","2026-01-15T15:35:50.580000","695939a556b8082002a35a69","renukajackson1@gmail.com","false"
